logo_file,logo_url,company_name,notes
logo_002.jpg,https://himap.ph/wp-content/uploads/2024/01/abbott-logo-e1737478928461.jpg,Abbott Philippines,
logo_003.jpg,https://himap.ph/wp-content/uploads/2024/01/logo-Accenture-e1737479214813.jpg,Accenture,
logo_004.jpg,https://himap.ph/wp-content/uploads/2024/01/accesshealhtcare-logo-e1737480260133.jpg,Access Healthcare,
logo_005.png,https://himap.ph/wp-content/uploads/2025/01/Website-e1737479939220.png,ADEC Healthcare,
logo_006.jpg,https://himap.ph/wp-content/uploads/2024/01/alorica-logo-e1737480321613.jpg,Alorica,
logo_007.jpg,https://himap.ph/wp-content/uploads/2024/01/logo-concentrix-e1737480764794.jpg,Concentrix,
logo_008.jpg,https://himap.ph/wp-content/uploads/2024/01/connext-logo-e1757918677835.jpg,Connext,
logo_009.png,https://himap.ph/wp-content/uploads/2025/01/Website-37.png,Lyric,
logo_010.png,https://himap.ph/wp-content/uploads/2025/01/Website-2-1024x576.png,Dynaquest,
logo_011.png,https://himap.ph/wp-content/uploads/2025/01/Website-16.png,Passelande,
logo_012.jpg,https://himap.ph/wp-content/uploads/2024/01/edata-logo-e1737482063870.jpg,eDat Services,
logo_013.jpg,https://himap.ph/wp-content/uploads/2024/01/logo-EXL-e1737482314248.jpg,EXL,
logo_014.png,https://himap.ph/wp-content/uploads/2025/01/Website-46.png,Genfinity,
logo_015.png,https://himap.ph/wp-content/uploads/2024/01/Sagility-Logo-for-website-e1737482456216.png,Sagility,
logo_016.jpg,https://himap.ph/wp-content/uploads/2024/01/infinit-o-logo-e1737482527506.jpg,Infinit-O,
logo_017.jpg,https://himap.ph/wp-content/uploads/2024/01/iqvia-logo-color-e1737482594790.jpg,IQVIA,
logo_018.jpg,https://himap.ph/wp-content/uploads/2024/01/omega_healthcare-logo-e1737482825667.jpg,Omega Healthcare,
logo_019.png,https://himap.ph/wp-content/uploads/2025/01/Website-3-e1737482955144.png,Optum,
logo_020.jpg,https://himap.ph/wp-content/uploads/2024/01/pointwest-logo-e1737483024598.jpg,Pointwest,
logo_021.jpg,https://himap.ph/wp-content/uploads/2024/01/shearwaterhealth-logo-e1737484190187.jpg,Shearwater,
logo_022.jpg,https://himap.ph/wp-content/uploads/2024/01/staywell-logo-e1737484266928.jpg,Staywell,
logo_023.png,https://himap.ph/wp-content/uploads/2025/01/Website-4-1024x576.png,Atos (Former Syntel),
logo_024.jpg,https://himap.ph/wp-content/uploads/2024/01/logo-Tenet-Health-e1737484629194.jpg,Tenet Health,
logo_025.jpg,https://himap.ph/wp-content/uploads/2024/01/ttsi-logo-e1737484733470.jpg,TTSI,
logo_026.jpg,https://himap.ph/wp-content/uploads/2024/01/vectoroutsourcing-logo-e1737484863961.jpg,Vector Outsourcing,
logo_027.png,https://himap.ph/wp-content/uploads/2025/01/Website-5-1024x576.png,VISAYA,
logo_028.png,https://himap.ph/wp-content/uploads/2025/01/Website-47.png,Wipro,
logo_030.png,https://himap.ph/wp-content/uploads/2025/01/Website-7-1024x576.png,MedCode,
logo_031.png,https://himap.ph/wp-content/uploads/2025/02/Website-6.png,Capstone,
logo_032.png,https://himap.ph/wp-content/uploads/2024/01/Inspiro-logo-e1737485967290.png,Inspiro,
logo_033.png,https://himap.ph/wp-content/uploads/2024/01/Conifer-logo-for-website-e1737486025713.png,Conifer,
logo_034.png,https://himap.ph/wp-content/uploads/2025/01/Website-8.png,LKN Strategies,
logo_035.png,https://himap.ph/wp-content/uploads/2025/01/Website-9-1024x576.png,Carelon,
logo_036.png,https://himap.ph/wp-content/uploads/2024/01/Afni-logo-for-website-e1737486943289.png,Afni,
logo_037.png,https://himap.ph/wp-content/uploads/2024/01/Cliniqon-Logo-for-Website-e1737486988681.png,Cliniqon,
logo_038.jpg,https://himap.ph/wp-content/uploads/2024/01/aws-logo-e1737487049114.jpg,AWS,
logo_039.png,https://himap.ph/wp-content/uploads/2025/01/Website-10-1024x576.png,Cognizant,
logo_040.png,https://himap.ph/wp-content/uploads/2025/01/Website-26-1024x576.png,Nordic,
logo_041.png,https://himap.ph/wp-content/uploads/2025/01/Website-33-1024x576.png,DME Serve,
logo_042.jpg,https://himap.ph/wp-content/uploads/2024/01/logo-SMS-global-e1737487493644.jpg,SMS Global,
logo_043.png,https://himap.ph/wp-content/uploads/2025/03/Website-7-1024x576.png,Teleperformance,
logo_044.png,https://himap.ph/wp-content/uploads/2025/01/Website-12-1024x576.png,UST Global,
logo_045.png,https://himap.ph/wp-content/uploads/2025/01/Website-13-e1737488155318.png,Office Symmetry,
logo_046.png,https://himap.ph/wp-content/uploads/2025/01/Website-15.png,Evolent Health,
logo_047.png,https://himap.ph/wp-content/uploads/2025/01/Website-18.png,MEDMETRIX,
logo_048.png,https://himap.ph/wp-content/uploads/2025/01/Website-19.png,Wagmi,
logo_049.png,https://himap.ph/wp-content/uploads/2025/01/Website-22-1024x576.png,VXI Global,
logo_050.png,https://himap.ph/wp-content/uploads/2025/01/Website-23-1024x576.png,Medical Abstract,
logo_051.png,https://himap.ph/wp-content/uploads/2025/01/Website-24-1024x576.png,Ibex,
logo_052.png,https://himap.ph/wp-content/uploads/2025/01/Website-43-1024x576.png,MedCheck,
logo_053.png,https://himap.ph/wp-content/uploads/2025/01/Website-27-1024x576.png,Datamatics,
logo_054.png,https://himap.ph/wp-content/uploads/2025/01/Website-28-1024x576.png,Dexcom,
logo_055.png,https://himap.ph/wp-content/uploads/2025/01/Website-29-1024x576.png,Everise,
logo_056.png,https://himap.ph/wp-content/uploads/2025/01/Website-30-1024x576.png,Microsourcing,
logo_057.png,https://himap.ph/wp-content/uploads/2025/01/Website-31-1024x576.png,Savant Technologies,
logo_058.png,https://himap.ph/wp-content/uploads/2025/01/Website-42-1024x576.png,iRHYTHM,
logo_059.png,https://himap.ph/wp-content/uploads/2025/01/Website-41-1024x576.png,MiraMed,
logo_060.png,https://himap.ph/wp-content/uploads/2025/08/Website-5-1024x576.png,Johnson & Johnson,
logo_062.png,https://himap.ph/wp-content/uploads/2025/02/Website-3.png,Tata Consultancy,
logo_063.png,https://himap.ph/wp-content/uploads/2025/02/Website-5.png,Fresenius,
logo_064.png,https://himap.ph/wp-content/uploads/2025/08/Website-9-1024x576.png,Optimum TransSchool,
logo_065.png,https://himap.ph/wp-content/uploads/2025/08/Website-8-1024x576.png,iReply Back Office Services,
